,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2612,1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
2613,1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
2701,1504,Armi Ursula Airaksinen (-Bveryd),F,18.0,166.0,59.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,
2702,1504,Armi Ursula Airaksinen (-Bveryd),F,18.0,166.0,59.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,
2757,1535,Kiera Leigh Aitken,F,20.0,167.0,55.0,Bermuda,BER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,
2758,1535,Kiera Leigh Aitken,F,24.0,167.0,55.0,Bermuda,BER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,
2782,1544,Marion Aizpors,F,27.0,180.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
2783,1544,Marion Aizpors,F,27.0,180.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
2784,1544,Marion Aizpors,F,27.0,180.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,
2785,1544,Marion Aizpors,F,27.0,180.0,67.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
2981,1661,Doli Akhtar,F,14.0,158.0,53.0,Bangladesh,BAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,
2982,1661,Doli Akhtar,F,18.0,158.0,53.0,Bangladesh,BAN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
2983,1661,Doli Akhtar,F,22.0,158.0,53.0,Bangladesh,BAN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
3096,1731,Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
3097,1731,Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
3098,1731,Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
3099,1731,Anastasiya Sergeyevna Aksenova,F,18.0,182.0,65.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
